name,slug,price,currency,description,ingredients,volumeMl,weightGrams,allergens,category,categoryKey,image,isAvailable,stockQuantity
Эспрессо,espresso,150,ILS,"Насыщенный кофе с плотным телом, ярким ароматом и бархатистой крема.",эспрессо,40,,,Кофе,coffee,/images/products/coffee/espresso.jpg,True,48
Американо,amerikano,180,ILS,"Классический эспрессо с горячей водой — мягкий, сбалансированный и ароматный.",эспрессо • вода,250 / 350,,,Кофе,coffee,/images/products/coffee/amerikano.jpg,True,15
Капучино,kapucino,250,ILS,"Эспрессо, тёплое молоко и воздушная микропена в гармоничном балансе.",эспрессо • молоко,300 / 400,,молоко,Кофе,coffee,/images/products/coffee/kapucino.jpg,True,9
Латте,latte,260,ILS,Латте — мягкий молочный кофе с выразительным ароматом и нежной кремовой текстурой.,эспрессо • молоко,300 / 400,,молоко,Кофе,coffee,/images/products/coffee/latte.jpg,True,25
Раф Классический,raf-klassiceskij,320,ILS,"Сливочный кофейный напиток на основе эспрессо с нежной, бархатистой текстурой.",эспрессо • молоко,300 / 400,,молоко,Кофе,coffee,/images/products/coffee/raf-klassiceskij.jpg,True,23
Флэт Уайт,flet-uajt,270,ILS,Флэт Уайт — авторская кофейная классика Brew & Bloom с мягким и сбалансированным вкусом.,эспрессо • молоко,300 / 400,,молоко,Кофе,coffee,/images/products/coffee/flet-uajt.jpg,True,22
Мокко,mokko,310,ILS,"Эспрессо, шоколад и молоко — насыщенный кофейно-десертный вкус.",эспрессо • молоко • шоколад,300 / 400,,молоко,Кофе,coffee,/images/products/coffee/mokko.jpg,True,16
Айс Латте,ajs-latte,280,ILS,Айс Латте — мягкий молочный кофе с выразительным ароматом и нежной кремовой текстурой.,эспрессо • молоко,300 / 400,,молоко,Кофе,coffee,/images/products/coffee/ajs-latte.jpg,True,14
Карамельный Макиато,karamel-nyj-makiato,300,ILS,Карамельный Макиато — мягкий молочный кофе с выразительным ароматом и нежной кремовой текстурой.,эспрессо • молоко • карамельный соус,300 / 400,,молоко,Кофе,coffee,/images/products/coffee/karamel-nyj-makiato.jpg,True,42
Ванильный Латте,vanil-nyj-latte,290,ILS,Ванильный Латте — мягкий молочный кофе с выразительным ароматом и нежной кремовой текстурой.,эспрессо • молоко • ванильный сироп,300 / 400,,молоко,Кофе,coffee,/images/products/coffee/vanil-nyj-latte.jpg,True,13
